artiste,,[sound:artiste.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/artiste/,,lsf-2 profession
ascenseur,,[sound:ascenseur.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ascenseur/,,lsf-3 outil technologie
Ascension,,[sound:Ascension.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ascension/,,lsf-1 
Asie,,[sound:Asie.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/asie/,,lsf-2 
aspirateur,,[sound:aspirateur.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aspirateur/,,lsf-3 outil technologie
assez,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/assez/,,lsf-4 
assiette,,[sound:assiette.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/assiette/,,lsf-2 outil
Association 5S,,[sound:Association 5S.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/association-s5/,,lsf-3 
assurance,,[sound:assurance.mp4],,"En cours, « U »",https://signsuisse.sgb-fss.ch/fr/lexikon/g/assurance/,,lsf-3 
assurance maladie,,[sound:assurance maladie.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/assurance-maladie/,,lsf-2 service
athée,,[sound:athée.mp4],,religion + ne pas avoir,https://signsuisse.sgb-fss.ch/fr/lexikon/g/athee/,,lsf-2 
attendre,,[sound:attendre.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attendre/,,lsf-1 verbe
attentat,,,,(différent en cours),https://signsuisse.sgb-fss.ch/fr/lexikon/g/attentat-2/,,lsf-3 
attentif - attentive,,[sound:attentif - attentive.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attentif-attentive/,,lsf-2 adjectif
attention!,,[sound:attention!.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attention/,,lsf-2 formule
attraper (rattraper),Attraper de nouveau ce qu’on a laissé échapper.,[sound:attraper (rattraper).mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/rattraper-1/,,lsf-3 verbe
au total,,[sound:au total.mp4],,,,,lsf-1 formule
aubergine,,[sound:aubergine.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aubergine-1/,,lsf-2 
aujourd'hui,,[sound:aujourd'hui.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aujourdhui/,,lsf-1 calendrier
aussi,,[sound:aussi.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aussi/,,lsf-1 
Australie,Pays.,[sound:Australie.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/australie/,,lsf-2 lieu
auteur-e,,[sound:auteur-e.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/auteur/,,lsf-3 
automne,,[sound:automne.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/automne/,,lsf-1 nature calendrier
autonome,,[sound:autonome.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autonome/,,lsf-2 adjectif
autoroute,,[sound:autoroute.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autoroute/,,lsf-2 
autre,,[sound:autre.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autre/,,lsf-1 pronom
Autriche,,[sound:Autriche.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autriche/,,lsf-1 lieu
autruche,,[sound:autruche.mp4],,(variante « Photo signe »),https://signsuisse.sgb-fss.ch/fr/lexikon/g/autruche/,,lsf-1 animal
avaler,,[sound:avaler.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avaler/,,lsf-1 verbe
avancer,,[sound:avancer.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avancer/,,lsf-2 verbe
avant,,[sound:avant.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avant-1/,,lsf-1 préposition
avantage,,[sound:avantage.mp4],,aimer (plusieurs fois en petit),,,lsf-2 
avec,,[sound:avec.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avec/,,lsf-1 préposition
Avent,,[sound:Avent.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avent/,,lsf-1 
aventure,,[sound:aventure.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aventure/,,lsf-2 
avertir,,,"<img src=""avertir.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avertir/,,lsf-4 
aveugle,,[sound:aveugle.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aveugle/,,lsf-1 adjectif
avis,,[sound:avis.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avis/,,lsf-2 
avocat (fruit),,,"<img src=""avocat (fruit).png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avocat-1/,,lsf-1 nourriture nature
avocat-e,,,"<img src=""avocat-e.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avocat-avocate-2/,,lsf-1 profession
avoir,,[sound:avoir.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avoir/,,lsf-1 verbe verbe-aff-nég
